date,semantic_categories,num_classes,vectorize_technique,vectorization_hyperparameters,path_vectorization,model_name,model_hyperparameters,accuracy,loss,precision_train,recall_train,f1_train,precision_test,recall_test,f1_test,days_pw,days_ow
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v49.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9395604133605957,0.21361733973026276,0.984,0.869,0.923,1.0,0.879,0.936,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v50.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.022410007193684578,0.995,0.986,0.991,1.0,0.989,0.994,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v51.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.011202792637050152,0.977,0.991,0.984,0.989,1.0,0.995,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v52.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9780219793319702,0.0863291323184967,0.959,0.977,0.967,0.968,0.989,0.978,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v53.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9615384340286255,0.09623512625694275,0.985,0.934,0.959,1.0,0.923,0.96,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v54.h5,"{'embedding_dim': 600, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.038412876427173615,1.0,0.972,0.986,1.0,0.989,0.994,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v55.h5,"{'embedding_dim': 700, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9890109896659851,0.061001043766736984,0.976,0.972,0.974,0.989,0.989,0.989,180,730
2025-06-30 17:38:24,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_173824,lstm_v56.h5,"{'embedding_dim': 800, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9890109896659851,0.019560357555747032,0.995,0.977,0.986,1.0,0.978,0.989,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v57.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9780219793319702,0.05082273855805397,0.986,0.962,0.974,0.989,0.967,0.978,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v58.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9670329689979553,0.2113145887851715,0.945,0.972,0.958,0.957,0.978,0.967,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v59.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9450549483299255,0.19221945106983185,0.923,0.901,0.912,0.976,0.912,0.943,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v60.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9835164546966553,0.06049513444304466,0.99,0.967,0.979,1.0,0.967,0.983,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v61.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9505494236946106,0.25820156931877136,0.94,0.883,0.91,0.977,0.923,0.949,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v62.h5,"{'embedding_dim': 600, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9670329689979553,0.12433116137981415,0.975,0.901,0.937,1.0,0.934,0.966,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v63.h5,"{'embedding_dim': 700, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9725274443626404,0.10331684350967407,0.967,0.953,0.96,0.989,0.956,0.972,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250630_174513,lstm_v64.h5,"{'embedding_dim': 800, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.9890109896659851,0.034991033375263214,0.99,0.977,0.983,1.0,0.978,0.989,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250630_174513,attention_v65.h5,"{'embedding_dim': 100, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.5054945349693298,0.7016911506652832,0.0,0.0,0.0,0.0,0.0,0.0,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250630_174513,attention_v66.h5,"{'embedding_dim': 200, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.030870139598846436,0.995,0.991,0.993,1.0,0.989,0.994,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250630_174513,attention_v67.h5,"{'embedding_dim': 300, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.03495026007294655,0.991,0.986,0.988,1.0,0.989,0.994,180,730
2025-06-30 17:45:13,"['Disease or Syndrome', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 30, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250630_174513,attention_v68.h5,"{'embedding_dim': 400, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.9945054650306702,0.035868652164936066,1.0,0.981,0.991,1.0,0.989,0.994,180,730
